date,ticker,name,account,sector,qty,lev,avg_price_krw,price,nominal,real,pnl,pnl_pct
2026-08-14,KRX:009150,삼성전기,국장,반도체/HW,43.0,1,1483987.0,1558000.0,66994000.0,66994000.0,3182559.0,0.049874
2026-08-14,KRX:012330,현대모비스,국장,로봇/피지컬AI,150.0,1,592075.0,540000.0,81000000.0,81000000.0,-7811250.0,-0.087953
2026-08-14,KRX:0193T0,SK하이닉스X2,국장,반도체/HW,13500.0,2,20042.0,9920.0,133920000.0,267840000.0,-136647000.0,-0.505039
2026-08-14,KRX:0193W0,삼성전자X2,국장,반도체/HW,12000.0,2,18280.0,13365.0,160380000.0,320760000.0,-58980000.0,-0.268873
2026-08-14,CASH_미장,예수금,미장,현금,1.0,1,92258.0,92258.0,92258.0,92258.0,0.0,0.0
2026-08-14,SOXL,Direxion Daily Semiconductor Bull 3X,미장,반도체/HW,277.0,3,202000.0,202812.0,56178924.0,168536772.0,224924.0,0.00402
2026-08-17,CASH_ISA,예수금,ISA,현금,1.0,1,297366.0,297366.0,297366.0,297366.0,0.0,0.0
2026-08-17,KRX:009150,삼성전기,ISA,AI/데이터센터,7.0,1,1187540.0,1558000.0,10906000.0,10906000.0,2593220.0,0.311956
2026-08-17,KRX:0193T0,SK하이닉스X2,ISA,반도체/HW,3000.0,2,17550.0,9780.0,29340000.0,58680000.0,-23310000.0,-0.442735
2026-08-17,CASH_국장,예수금,국장,현금,1.0,1,2211816.0,2211816.0,2211816.0,2211816.0,0.0,0.0
2026-08-17,CREDIT_국장,신용잔고,국장,신용,1.0,1,479944569.0,479944569.0,479944569.0,479944569.0,0.0,0.0
2026-08-17,KRX:000660,SK하이닉스,국장,반도체/HW,140.0,1,1887803.0,1645000.0,230300000.0,230300000.0,-33992420.0,-0.128617
2026-08-17,KRX:005930,삼성전자,국장,반도체/HW,900.0,1,233577.0,274500.0,247050000.0,247050000.0,36830700.0,0.175201
2026-08-17,KRX:009150,삼성전기,국장,반도체/HW,43.0,1,1483987.0,1558000.0,66994000.0,66994000.0,3182559.0,0.049874
2026-08-17,KRX:012330,현대모비스,국장,로봇/피지컬AI,150.0,1,592075.0,547000.0,82050000.0,82050000.0,-6761250.0,-0.076131
2026-08-17,KRX:0193T0,SK하이닉스X2,국장,반도체/HW,13500.0,2,20042.0,9780.0,132030000.0,264060000.0,-138537000.0,-0.512025
2026-08-17,KRX:0193W0,삼성전자X2,국장,반도체/HW,12000.0,2,18280.0,13530.0,162360000.0,324720000.0,-57000000.0,-0.259847
2026-08-17,CASH_미장,예수금,미장,현금,1.0,1,92258.0,92258.0,92258.0,92258.0,0.0,0.0
2026-08-17,SOXL,Direxion Daily Semiconductor Bull 3X,미장,반도체/HW,277.0,3,202000.0,203986.0,56504122.0,169512366.0,550122.0,0.009832
