date,equity,own_equity,expo_real,nominal_sum,cash,credit,implied_lev,debt,lev_real,lev_account,margin_ratio,liq_room,cash_ratio,debt_ratio,max_sector,max_sector_name,max_pos,stop_below,stop_missing,stop_loss,stop_loss_ratio,debt_to_salary,violations,국장_total,국장_equity,미장_equity,ISA_equity,source
2026-07-13,,,,,,,,,,,,,,,,,,,,,,,,1094918500.0,359604206.0,,,backfill(국장만)
2026-07-14,,,,,,,,,,,,,,,,,,,,,,,,1134766790.0,398445035.0,,,backfill(국장만)
2026-07-15,,,,,,,,,,,,,,,,,,,,,,,,1254341600.0,518019845.0,,,backfill(국장만)
2026-07-16,,,,,,,,,,,,,,,,,,,,,,,,1094413345.0,358091590.0,,,backfill(국장만)
2026-07-17,,,,,,,,,,,,,,,,,,,,,,,,1094413345.0,358091590.0,,,backfill(국장만)
2026-07-20,,,,,,,,,,,,,,,,,,,,,,,,1030495250.0,334173495.0,,,backfill(국장만)
2026-07-21,,,,,,,,,,,,,,,,,,,,,,,,1067312500.0,399297676.0,,,backfill(국장만)
2026-07-22,,,,,,,,,,,,,,,,,,,,,,,,1074150000.0,415145334.0,,,backfill(국장만)
2026-07-23,,,,,,,,,,,,,,,,,,,,,,,,1163655000.0,484048843.0,,,backfill(국장만)
2026-07-24,,,,,,,,,,,,,,,,,,,,,,,,1073995600.0,357441626.0,,,backfill(국장만)
2026-07-27,,,,,,,,,,,,,,,,,,,,,,,,1100689360.0,384135386.0,,,backfill(국장만)
2026-07-28,,,,,,,,,,,,,,,,,,,,,,,,562800000.0,217853502.0,,,backfill(국장만)
2026-07-29,,,,,,,,,,,,,,,,,,,,,,,,585280000.0,216135728.0,,,backfill(국장만)
2026-07-30,,,,,,,,,,,,,,,,,,,,,,,,565857956.0,,56579497.0,29117438.0,backfill(국장순자산 누락)
2026-07-31,,,,,,,,,,,,,,,,,,,,,,,,837173357.0,,59980010.0,41355748.0,backfill(국장순자산 누락)
2026-08-04,,,,,,,,,,,,,,,,,,,,,,,,876353938.0,,50400000.0,36971366.0,backfill(국장순자산 누락)
2026-08-10,361082576.0,,,,,,,,,,,,,,,,,,,,,,,760373938.0,281937353.0,47167857.0,31977366.0,backfill(전체)
2026-08-11,361082576.0,121082576.0,1079147857.0,837047857.0,2471304.0,478436585.0,242100000.0,720536585.0,8.912495,2.988646,1.589289,0.092613,0.002285,0.66769,0.945105,반도체/HW,0.283568,7,0,14882271.0,0.12291,9.006707,"R01,R02,R03,R04,R05,R06,R07,R08",760373938.0,281937353.0,47167857.0,31977366.0,cache
